"rowkey","occurrenceID","eventID","catalogNumber","collectionCode","dcterms:type","dcterms:license processed","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","dcterms:references","taxonID","scientificName processed","scientificNameAuthorship","nomenclaturalStatus","taxonRemarks","identificationRemarks","identifiedBy processed","identificationVerificationStatus","identificationVerificationStatus processed","kingdom","phylum processed","class processed","order processed","family processed","genus processed","specificEpithet","infraspecificEpithet","eventDate processed","eventTime","verbatimEventDate","day processed","month processed","year processed","eventDateEnd processed","endDay processed","endMonth processed","endYear processed","locationID","higherGeographyID","higherGeography","islandGroup","island","countryCode","county","gridreference","verbatimLocality","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","georeferenceVerificationStatus processed","georeferenceRemarks","geologicalContextID","basisOfRecord processed","occurrenceStatus processed","occurrenceRemarks","vitality","dynamicProperties","recordNumber","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","samplingEffort","sampleSizeUnit","measurementDeterminedDate","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","relationshipOfResource","measurementMethod","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","collectionID","datasetID","institutionCode","fieldNotes","eventRemarks","datasetName","ownerInstitutionCode","otherCatalogNumbers","materialSampleID","decimalLatitude processed","decimalLongitude processed","Coordinate uncertainty - processed"
"cec90d42-e1cf-4ca0-954f-b048601a47e7","101024244",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2019-07-02",,,"02","07","2019",,,,,,,,,,,,"NY65",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.88851","-2.547147","7071.1"
"cf980316-1c80-4974-aae3-05ebde395c96","54669967",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2010-12-26",,,"26","12","2010",,,,,,,,,,,,"SD38",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.256525","-2.999248","7071.1"
"cf9c9787-64dc-47e0-9621-caec2ffadcb1","125704820",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2019-03-14",,,"14","03","2019",,,,,,,,,,,,"NY65",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.88851","-2.547147","7071.1"
"cfa70900-07de-46f2-845f-f92f7e498741","95033516",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2012-01-30",,,"30","01","2012",,,,,,,,,,,,"SD37",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.166665","-2.99708","7071.1"
"d15ff0d2-e268-4e1f-acf0-879cac2e739d","81308413",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2014-10-05",,,"05","10","2014",,,,,,,,,,,,"NY65",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.88851","-2.547147","7071.1"
"d23b818a-a345-487d-a107-ab040607ad22","40919737",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2004-11-02",,,"02","11","2004",,,,,,,,,,,,"NY62",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.618926","-2.543522","7071.1"
"d36c6bf0-896f-4d42-a6cc-732af167fbe5","4107227",,,,,"OGL","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2011-01-16",,,"16","01","2011",,,,,,,,,,,,"SD39",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.346383","-3.001427","7071.1"
"d39483bd-7fae-4e8f-8d29-fd942842b71c","59881855",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2010-10-10",,,"10","10","2010",,,,,,,,,,,,"SD29",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.345008","-3.155229","7071.1"
"d3b89771-6b0b-45b6-a927-7a86a2d03542","88719445",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2013-01-21",,,"21","01","2013",,,,,,,,,,,,"SD37",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.166665","-2.99708","7071.1"
"d47475cc-ee78-48e0-a37d-38a071cb9873","74398327",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2015-06-05",,,"05","06","2015",,,,,,,,,,,,"SD39",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.346383","-3.001427","7071.1"
